#Package	Display name
Human.1.0	Human; version 1.0
MIGS.vi.human-associated.4.0	MIGS: virus, human-associated; version 4.0
MIGS.vi.human-gut.4.0	MIGS: virus, human-gut; version 4.0
MIGS.vi.human-oral.4.0	MIGS: virus, human-oral; version 4.0
MIGS.vi.human-skin.4.0	MIGS: virus, human-skin; version 4.0
MIGS.vi.human-vaginal.4.0	MIGS: virus, human-vaginal; version 4.0
MIGS.vi.microbial.4.0	MIGS: virus, microbial; version 4.0
MIGS.vi.miscellaneous.4.0	MIGS: virus, miscellaneous; version 4.0
MIGS.vi.plant-associated.4.0	MIGS: virus, plant-associated; version 4.0
MIGS.vi.sediment.4.0	MIGS: virus, sediment; version 4.0
MIGS.vi.soil.4.0	MIGS: virus, soil; version 4.0
MIGS.vi.wastewater.4.0	MIGS: virus, wastewater; version 4.0
MIGS.vi.water.4.0	MIGS: virus, water; version 4.0
MIMARKS.specimen.4.0	MIMARKS: specimen; version 4.0
MIMARKS.specimen.air.4.0	MIMARKS: specimen, air; version 4.0
MIMARKS.specimen.built.4.0	MIMARKS: specimen, built; version 4.0
MIMARKS.specimen.host-associated.4.0	MIMARKS: specimen, host-associated; version 4.0
MIMARKS.specimen.human-associated.4.0	MIMARKS: specimen, human-associated; version 4.0
MIMARKS.specimen.human-gut.4.0	MIMARKS: specimen, human-gut; version 4.0
MIMARKS.specimen.human-oral.4.0	MIMARKS: specimen, human-oral; version 4.0
MIMARKS.specimen.human-skin.4.0	MIMARKS: specimen, human-skin; version 4.0
MIMARKS.specimen.human-vaginal.4.0	MIMARKS: specimen, human-vaginal; version 4.0
MIMARKS.specimen.microbial.4.0	MIMARKS: specimen, microbial; version 4.0
MIMARKS.specimen.miscellaneous.4.0	MIMARKS: specimen, miscellaneous; version 4.0
MIMARKS.specimen.plant-associated.4.0	MIMARKS: specimen, plant-associated; version 4.0
MIMARKS.specimen.sediment.4.0	MIMARKS: specimen, sediment; version 4.0
MIMARKS.specimen.soil.4.0	MIMARKS: specimen, soil; version 4.0
MIMARKS.specimen.wastewater.4.0	MIMARKS: specimen, wastewater; version 4.0
MIMARKS.specimen.water.4.0	MIMARKS: specimen, water; version 4.0
MIMARKS.survey.air.4.0	MIMARKS: survey, air; version 4.0
MIMARKS.survey.built.4.0	MIMARKS: survey, built; version 4.0
MIMARKS.survey.host-associated.4.0	MIMARKS: survey, host-associated; version 4.0
MIMARKS.survey.human-associated.4.0	MIMARKS: survey, human-associated; version 4.0
MIMARKS.survey.human-gut.4.0	MIMARKS: survey, human-gut; version 4.0
MIMARKS.survey.human-oral.4.0	MIMARKS: survey, human-oral; version 4.0
MIMARKS.survey.human-skin.4.0	MIMARKS: survey, human-skin; version 4.0
MIMARKS.survey.human-vaginal.4.0	MIMARKS: survey, human-vaginal; version 4.0
MIMARKS.survey.microbial.4.0	MIMARKS: survey, microbial; version 4.0
MIMARKS.survey.miscellaneous.4.0	MIMARKS: survey, miscellaneous; version 4.0
MIMARKS.survey.plant-associated.4.0	MIMARKS: survey, plant-associated; version 4.0
MIMARKS.survey.sediment.4.0	MIMARKS: survey, sediment; version 4.0
MIMARKS.survey.soil.4.0	MIMARKS: survey, soil; version 4.0
MIMARKS.survey.wastewater.4.0	MIMARKS: survey, wastewater; version 4.0
MIMARKS.survey.water.4.0	MIMARKS: survey, water; version 4.0
MIMS.me.air.4.0	MIMS: metagenome/environmental, air; version 4.0
MIMS.me.built.4.0	MIMS: metagenome/environmental, built; version 4.0
MIMS.me.host-associated.4.0	MIMS: metagenome/environmental, host-associated; version 4.0
MIMS.me.human-associated.4.0	MIMS: metagenome/environmental, human-associated; version 4.0
MIMS.me.human-gut.4.0	MIMS: metagenome/environmental, human-gut; version 4.0
MIMS.me.human-oral.4.0	MIMS: metagenome/environmental, human-oral; version 4.0
MIMS.me.human-skin.4.0	MIMS: metagenome/environmental, human-skin; version 4.0
MIMS.me.human-vaginal.4.0	MIMS: metagenome/environmental, human-vaginal; version 4.0
MIMS.me.microbial.4.0	MIMS: metagenome/environmental, microbial; version 4.0
MIMS.me.miscellaneous.4.0	MIMS: metagenome/environmental, miscellaneous; version 4.0
MIMS.me.plant-associated.4.0	MIMS: metagenome/environmental, plant-associated; version 4.0
MIMS.me.sediment.4.0	MIMS: metagenome/environmental, sediment; version 4.0
MIMS.me.soil.4.0	MIMS: metagenome/environmental, soil; version 4.0
MIMS.me.wastewater.4.0	MIMS: metagenome/environmental, wastewater; version 4.0
MIMS.me.water.4.0	MIMS: metagenome/environmental, water; version 4.0
Microbe.1.0	Microbe; version 1.0
Model.organism.animal.1.0	Model organism or animal; version 1.0
Pathogen.cl.1.0	Pathogen: clinical or host-associated; version 1.0
Pathogen.env.1.0	Pathogen: environmental/food/other; version 1.0
Plant.1.0	Plant; version 1.0
Virus.1.0	Virus; version 1.0
